Level	NameEN	NameKK	NameRU	Number
1	Karaganda	Қарағанды	Карагандинская	350000000
1	Kyzylorda	Қызылорда	Кызылординская	430000000
1	Turkestan	Түркістан облысы 	Туркистанская	610000000
1	Aktobe	Ақтөбе	Актюбинская	150000000
1	North Kazakhstan 	Солтүстік Қазақстан 	Северо-Казахстанская	590000000
1	Akmola	Ақмола	Акмолинская	110000000
1	East Kazakhstan	Шығыс Қазақстан 	Восточно-Казахстанская	630000000
1	Zhambyl	Жамбыл 	Жамбылская	310000000
1	Almaty	Алматы	Алматинская	190000000
1	West Kazakhstan	Батыс Қазақстан	Западно-Казахстанская	270000000
1	Atyrau	Атырау	Атырауская	230000000
1	Mangistau	Маңғыстау	Мангистауская	470000000
1	Kostanai	Қостанай	Костанайская	390000000
1	Pavlodar	Павлодар	Павлодарская	550000000
1	Astana city	Астана ҚӘ	Астана ГА	710000000
1	Almaty city	Алматы ҚӘ	Алматы ГА	750000000
2	Shet	Шет	Шетский	356400000
2	Shieli	Шиелі	Шиелинский	435200000
2	Ulytau	Ұлытау	Улытауский	356000000
2	Nura	Нұра	Нуринский	355200000
2	Zhanaarkha	Жаңаарқа	Жанааркинский	354400000
2	Sozakh	Созақ	Созакский	615600000
2	Aral	Арал	Аральский	433200000
2	Khazaly	Қазалы	Казалынский	434400000
2	Kharmakhshy	Қармақшы	Кармакшынский	434600000
2	Zhalaghash	Жалағаш	Жалагашский	433600000
2	Khyzylorda SA	Қызылорда ҚӘ	Кызылорда ГА	431000000
2	Bayghanin	Байғанин	Байганинский	153600000
2	Temir	Темір	Темирский	155600000
2	Mughalzhar	Мұғалжар	Мугалжарский	154800000
2	Ualihan	Уәлихан	Уалихановский	596400000
2	Maghzhan Zhumabaev	Мағжан Жұмабаев	Магжана Жумабаев	593600000
2	Akhkhaiyyn	Аққайың	Аккайынский	595800000
2	Tayinsha	Тайынша	Тайыншинский	596000000
2	Akhzhar	Ақжар	Акжарский	593400000
2	Enbekshilder	Еңбекшілдер	Енбекшильдерски	114500000
2	Akhol	Ақкөл	Аккольский	113200000
2	Khyzylzhar	Қызылжар	Кызылжарский ра	595000000
2	Kurshim	Күршім	Куршимский	635200000
2	Ulan	Ұлан	Уланский	636200000
2	Zyryan	Зырян	Зыряновский	634800000
2	Khatonkharaghay	Қатонқарағай	Катонкарагайски	635400000
2	Zharma	Жарма	Жарминский	634400000
2	Tarbaghatay	Тарбағатай	Тарбагатайский	635800000
2	Zaysan	Зайсан	Зайсанский	634600000
2	Kokpekti	Көкпекті	Кокпектынский	635000000
2	Shu	Шу	Шуский	316600000
2	Sarysu	Сарысу	Сарысуский	316000000
2	Moiynkhum	Мойынқұм	Мойынкумский	315600000
2	Bayzakh	Байзақ	Байзакский	313600000
2	Turar Ryskhulov	Тұрар Рысқұлов	Турара Рыскулов	315000000
2	Merki	Меркі	Меркинский	315400000
2	Enbekshikhazakh	Еңбекшіқазақ	Енбекшиказахски	194000000
2	Kegen	Кеген	Кегенский	194400000
2	Raiymbek	Райымбек 	Райымбекский	195800000
2	Zhanakhala	Жаңақала	Жанакалинский	274000000
2	Kaztalov	Казталов	Казталовский	274800000
2	Zhanibek	Жәнібек	Жанибекский	274200000
2	Akhzhayiykh	Ақжайық	Акжайыкский	273200000
2	Kharatobe	Қаратөбе	Каратобинский	275000000
2	Syrym	Сырым	Сырымский	275800000
2	Oiyl	Ойыл	Ойылский	155200000
2	Khyzylkhogha	Қызылқоға	Кызылкогинский	234800000
2	Makhat	Мақат	Макатский	235200000
2	Zhylyoy	Жылыой	Жылыойский	233600000
2	Kharakhiya	Қарақия	Каракиянский	474200000
2	Munayly	Мұнайлы	Мунайлынский	475000000
2	Manghystau	Маңғыстау	Магыстауский	474600000
2	Beineu	Бейнеу	Бейнеуский	473600000
2	Tupkharaghan	Түпқараған	Тупкараганский	475200000
2	Hromtau	Хромтау	Хромтауский	156000000
2	Inder	Индер	Индерский	234000000
2	Khobda	Қобда	Кобдинский	154200000
2	Yrghyz	Ырғыз	Ыргызский	156800000
2	Aytekebi	Әйтеке би	Айтеке Би	153400000
2	Shalkhar	Шалқар	Шалкарский	156400000
2	Amangeldi	Амангелді	Аманкельдинский	393400000
2	Zhankeldi	Жангелді	Жанкельдинский	394200000
2	Nauryzym	Наурызым	Наурызымский	395800000
2	Zharkhayin	Жарқайың	Жаркайынский	115400000
2	Khazyghurt	Қазығұрт	Казыгуртский	614000000
2	Kentau	Кентау ҚӘ	Кентау ГА	612000000
2	Baydibek	Бәйдібек	Байдыбека район	613600000
2	Ordabasy	Ордабасы	Ордабасынский	614600000
2	Otyrar	Отырар	Отырарский	614800000
2	Arys SA	Арыс ҚӘ	Арыс ГА	611600000
2	Shymkent SA	Шымкент ҚӘ	Шымкент ГА	790000000
2	Sayram	Сайрам	Сайрамский	615200000
2	Tulkibas	Түлкібас	Тулькибасский	616000000
2	Zhanakhorghan	Жаңақорған 	Жанакорганский	434000000
2	Shardara	Шардара	Шардаринский	616400000
2	Keles	Келес	Келесский	613900000
2	Zhetisay	Жетісай	Жетысайский	613800000
2	Makhtaaral	Мақтаарал	Мактааральский	614400000
2	Saryaghash	Сарыағаш	Сарыагашский	615400000
2	Talas	Талас	Таласский	316200000
2	Zhualy	Жуалы	Жуалынский	314200000
2	Zhambyl	Жамбыл	Жамбылский	314000000
2	Taraz SA	Тараз ҚӘ	Тараз ГА	311000000
2	Khorday	Қордай 	Кордайский	314800000
2	Osakarovka	Осакаровка	Осакаровский	355600000
2	Kharkharaly	Қарқаралы	Каркаралынский	354800000
2	Atbasar	Атбасар	Атбасарский	113800000
2	Egindikol	Егіндікөл	Егиндыкольский	114400000
2	Khorghalzhyn	Қорғалжың	Коргалжынский	116000000
2	Tselinograd	Целиноград	Целиноградский	116600000
2	Abay	Абай	Абайский	353200000
2	Kharaghandy SA	Қарағанды ҚӘ	Караганды ГА	351000000
2	Akhtoghay	Ақтоғай	Актогайский	353600000
2	Temirtau SA	Теміртау ҚӘ	Темиртау ГА	352400000
2	Bukhar Zhyrau	Бұқар Жырау	Бухар Жырау	354000000
2	Bayanauyl	Баянауыл	Баянауылский	553600000
2	Esil	Есіл	Есильский	114800000
2	Zhakhsy	Жақсы	Жаксынский	115200000
2	Shal akhyn	Шал ақын	Шал Акына	595600000
2	Ghabit Musirepov	Ғабит Мүсірепов	Габита Мусрепов	596600000
2	Aiyrtau	Айыртау	Айыртауский	593200000
2	Arshaly	Аршалы	Аршалынский	113400000
2	Burabay	Бурабай	Бурабайский	117000000
2	Bulandy	Бұланды	Буландынский	114000000
2	Sandykhtau	Сандықтау	Сандыктауский	116400000
2	Astrahan	Астрахан	Астраханский	113600000
2	Astana SA	Астана ҚӘ	Астана ГА	710000000
2	Stepnogorsk SA 	Степногорск ҚӘ	Степногорск ГА	111800000
2	Ereymentau	Ерейментау	Ерейментауский	114600000
2	Shortandy	Шортанды	Шортандинский	116800000
2	Akhtoghay	Ақтоғай	Актогайский	553200000
2	Esil	Есіл	Есильский	594200000
2	Zerendi	Зеренді	Зерендынский	115600000
2	Kokshetau SA	Көкшетау ҚӘ	Кокшетау ГА	111000000
2	Zhambyl	Жамбыл	Жамбылский	594600000
2	Mamlyut	Мамлют	Мамлютский	595200000
2	Petropavl SA	Петропавл ҚӘ	Петропавловск ГА	591000000
2	Timiryazev	Тимирязев	Тимирязевский	596200000
2	Ekibastuz SA	Екібастұз ҚӘ	Екибастуз ГА	552200000
2	May	Май	Майский	555600000
2	Zhelezin	Железин	Железинский	554200000
2	Khashyr	Қашыр	Кашырский	554800000
2	Uspen	Успен	Успенский	556400000
2	Sharbakhty	Шарбақты	Шарбактынский	556800000
2	Lebyazhi	Лебяжі	Лебяжинский	555200000
2	Ertis	Ертіс	Ертисский	554600000
2	Beskharaghay	Бесқарағай	Бескарагайский	633600000
2	Boroduliha	Бородулиха	Бородулихинский	633800000
2	Semey SA	Семей ҚӘ	Семей ГА	632800000
2	Abay	Абай 	Абайский	633200000
2	Ayagoz	Аягөз	Аягозский	633400000
2	Shemonaiha	Шемонаиха	Шемонаихинский	636800000
2	Glubokoe	Глубокое	Глубоковский	634000000
2	Oskemen	Өскемен ҚӘ	Усть-Каменогорский ГА	631000000
2	Ridder SA	Риддер ҚӘ	Риддер ГА	632400000
2	Urzhar	Үржар	Уржарский	636400000
2	Alakol	Алакөл	Алакольский	193400000
2	Balkhash	Балқаш	Балкаш ГА	351600000
2	Ayagoz SA	Аягөз ҚА	Аягоз ГА	631800000
2	Zhambyl	Жамбыл	Жамбылский	194200000
2	Akhsu	Ақсу	Аксуский	193200000
2	Koksu	Көксу	Коксуский	194800000
2	Taldykhorghan SA	Талдықорған ҚӘ	Талдыкорган ГА	191000000
2	Eskeldi	Ескелді	Ескельдынский	196400000
2	Kerbulakh	Кербұлақ	Кербулакский	194600000
2	Uyghyr	Ұйғыр	Уйгурский	196600000
2	Ile	Іле	Илийский	196800000
2	Balkhash	Балқаш	Балкашский	193600000
2	Talghar	Талғар	Талгарский	196200000
2	Khapshaghay	Қапшағай ҚӘ	Капшагай ГА	191600000
2	Khurmanghazy	Құрманғазы	Курмангазынский	234600000
2	Isatay	Исатай	Исатайский	234200000
2	Panfilov	Панфилов	Панфиловский	195600000
2	Almaty SA	Алматы ҚӘ	Алматы ГА	750000000
2	Atyrau 	Атырау ҚӘ	Атырау ГА	231000000
2	Makhambet	Махамбет	Махамбетский	235600000
